Languages,language_code
Kunama,kun
Lafofa,laf
Siamou,sif
Laal,gdm
Sandawe,sad
Ongota,bxe
Jalaa,cet
Hadza,hts
Bangime,dba
Kujarge,vkj
Berta,wti
Nara,nrb
Shabo,sbf
Meroitic,xmr
Gule,gly
Majang,mpe
Mararit,mgb
Keiga,kec
Dime,dim
Tima,tms
Aja (South Sudan),aja
Numidian,nxm
Gail,gic
Rufiji,rui
Kofa,kso
Gamo-Gofa-Dawro,gmo
Beti (Cameroon),btb
Bemba (Democratic Republic of Congo),bmy
!O!ung,oun
Ihievbe,ihi
Yauma,yax
Nyeng,nfg
Odut,oda
Baga Kaloum,bqf
Songa,sgo
Bainouk-Samik,bcb
Ndonde Hamba,njd
Buya,byy
Ngombe (Central African Republic),nmj
Southern Betsimisaraka Malagasy (Retired),bjq
Baga Sobané,bsv
Foma,fom
Yendang (Retired),yen
Nde-Gbite,ned
Aduge,adu
Buso,bso
Bubia,bbx
Yangho,ynh
Áncá,acb
Ibilo,ibi
Aramanik,aam
Walo Kumbe Dogon,dwl
Forest Maninka,myq
Sara Dunjo,koj
Ngong,nnx
Judeo-Berber,jbe
Idesa,ids
Borna (Democratic Republic of Congo),bxx
Mediak,mwx
Gey,guv
Ija-Zuba,vki
Kpatili,kym
Kolum So Dogon,dkl
Gbati-ri,gti
Yamongeri,ymg
Kakihum,kxe
Tingal,tie
Babalia Creole Arabic,bbz
Maligo,mwj
Kwak,kwq
Shakara,nfk
Uokha,uok
Gengle,geg
Imeraguen,ime
Fum,fum
Kisankasa,kqh
Buraka,bkg
Tunen (Retired),baz
Daats'iin,dtn
Mansoanka,msw
Gola,gol
Bambassi,myf
Ik,ikx
Sheko,she
Nayi,noz
Dizin,mdx
Temein,teq
Tese,keg
Amkoe,huc
Tagoi,tag
Tegali,ras
Gaam,tbi
Weyto,woy
Rer Bare,rer
Mawa (Nigeria),wma
Afrihili,afh
N'Ko,nqo
Defaka,afn
Gwama,kmq
Kwadi,kwz
Ama (Sudan),nyi
Afitti,aft
Yemsa,jnj
Bench,bcq
Amdang,amj
Fur,fvr
Midob,mei
Ngiti,niy
Moru,mgd
Sinyar,sys
Bongo,bot
Lombi,lmi
Ndo,ndp
Mediterranean Lingua Franca,pml
Fanagalo,fng
Kru Pidgin English,lir
Gibanawa,gib
Barikanchi,bxo
Tulishi,tey
Njalgulgule,njl
Dar Sila Daju,dau
Dar Daju Daju,djc
Shatt,shj
Logorik,liu
Katla,kcr
Kuwaa,blh
Koyra Chiini Songhay,khq
Koyraboro Senni Songhai,ses
Humburi Senni Songhay,hmb
Tondi Songway Kiini,tst
Zambian Sign Language,zsl
Adamorobe Sign Language,ads
Seychelles Sign Language,lsw
Malawian Sign Language,lws
Mozambican Sign Language,mzy
Mauritian Sign Language,lsy
Guinea-Bissau Sign Language,lgs
Tebul Sign Language,tsy
Ghardaia Sign Language,ajs
Langue de Signes Malienne,bog
Zimbabwe Sign Language,zib
Tanzanian Sign Language,tza
Kenya-Somali Sign Language,xki
Hausa Sign Language,hsl
Torona,tqr
Lumun,lmd
Kresh-Woro,krs
Shwai,shw
Ko,fuj
Warnang,wrn
Northern Gumuz,guk
Kalenjin,kln
Ega,ega
East Limba,lma
West-Central Limba,lia
Toro Tegu Dogon,dtt
Jamsay Dogon,djm
Tiranige Diga Dogon,tde
Donno So Dogon,dds
Toro So Dogon,dts
Tommo So Dogon,dto
Dogul Dom Dogon,dbg
Nanga,nzz
Bankan Tey Dogon,dbw
Ben Tey Dogon,dbt
Ganza,gza
Soo,teu
Nyang'i,nyp
South-Eastern Ju,ktz
Northern Ju,vaj
North-Central Ju,knw
Awjilah,auj
Tuareg,tmh
Nafusi,jbn
Ghadames,gha
Beja,bej
Coptic,cop
Egyptian (Ancient),egy
Kelo,xel
Molo,zmo
Aka,soh
Shuwa-Zamani,ksa
Ruma,ruz
Dungu,dbv
Mala (Nigeria),ruy
Ware,wre
Nshi,nsc
Vono,kch
Tumi,kku
Esuma,esm
Dek,dek
Kaivi,kce
Lower-Nosop,nsb
/Xam,xam
Beria,zag
Berti,byt
Medefidrin,dmf
La'bi,lbi
Camtho,cmt
Tsotsitaal,fly
Chara,cra
Anfillo,myo
Boro (Ethiopia),bwo
Kenuzi-Dongola,kzh
Birked,brk
Kwegu,xwg
Assangori,sjg
Tama (Chad),tma
Ndrulo,dno
Lendu,led
Avokaya,avu
Logo,log
Lugbara,lgg
Aringa,luc
Southern Ma'di,snm
Olu'bo,lul
Ma'di,mhi
Yulu-Binga,yul
Baka (South Sudan),bdh
Asoa,asv
Mangbetu,mdj
Birri,bvq
Mamvu,mdi
Mangbutu,mdk
KiSetla,sta
Kanga,kcp
Katcha-Kadugli-Miri,xtc
Tumtum,tbr
Krongo,kgo
Gayil,gyl
Aari,aiw
Hamer-Banna,amf
Karo (Ethiopia),kxh
Dar Fur Daju,daj
Baygo,byg
Neyo,ney
Kodia,kwp
Wané,hwa
Bakwé,bjw
Tagdal,tda
Tadaksahak,dsq
Korandje,kcy
Tasawaq,twq
Dendi (Benin),ddn
Zarma,dje
Algerian Sign Language,asp
Rwandan Sign Language,rsn
Egypt Sign Language,esl
Libyan Sign Language,lbs
Tocho,taz
Acheron,acz
Nding,eli
Tasomi-Tata,tlo
Ngile,jle
Dagik,dec
Koalib-Rere,kib
Tira,tic
Moro,mor
Northern Burun,bdi
Dinka,din
Omotik,omt
Mandari,mqu
Kakwa,keo
Landoma,ldm
Baga Manduri,bmd
Timne,tem
Baga Koga,bgo
Baga Sitemu,bsp
Kam,kdx
Gade,ged
Ukaan,kcf
Oko-Eni-Osayen,oks
Aproumu Aizi,ahp
Mbre,mka
Biafada,bif
Jaad-Badyara,pbp
Wamey,cou
Mbulungish,mbv
Nalu,naj
Pukur,bcg
Fula,ful
Sereer,srr
Tomo Kan Dogon,dtm
Tengou-Togo Dogon,dtk
Bunoge Dogon,dgb
Ampari Dogon,aqd
Mombo Dogon,dmb
Najamba-Kindige,dbu
Tebul Ure Dogon,dtu
Hozo,hoz
Seze,sze
Groot Laagte =/Kx'au//'ein,aue
Tetserret,tez
Zenaga,zen
Guanche,gnc
Tahaggart Tamahaq,thv
Kabyle,kab
Awngi,awn
Dahalo,dal
Aasax,aas
East Taa,nmn
//Xegwi,xeg
Vaal-Orange,kqu
Danster !Ui,gku
N||ng,ngh
Bissa,bib
Dazaga,dzg
Tedaga,tuq
Southeast Ijo,ijs
Izon,ijc
Uduk,udu
Komo (Sudan-Ethiopia),xom
Opo,lgn
Kibet,kie
Runga,rou
Kachama-Ganjule-Haro,kcx
Zayse-Zergulla,zay
Koorete,kqy
Male (Ethiopia),mdy
Basketo,bst
Shekkacho,moy
Kafa,kbr
Dongola,dgl
Kenuzi,xnz
Nobiin,fia
Old Nubian,onw
Kacipo-Balesi,koe
Tennet,tex
Murle,mur
Me'en,mym
Omi,omi
Keliko,kbo
Beli (South Sudan),blm
Efe,efe
Mvuba,mxh
Lese,les
Bendi,bct
Yocoboué Dida,gud
Gagnoa Bété,btg
Kouya,kyf
Guiberoua Béte,bet
Daloa Bété,bev
Godié,god
Moroccan Sign Language,xms
Ugandan Sign Language,ugn
Ethiopian Sign Language,eth
Sierra Leone Sign Language,sgx
Guinean Sign Language,gus
Tunisian Sign Language,tse
South African Sign Language,sfs
Namibian Sign Language,nbs
Otoro,otr
Logol,lof
